metodo,k,pureza,ari,nmi,n_clusters_hdb_sin_ruido,frac_ruido,silhouette,k_elbow,delta
auto,4,0.99988,0.06768,0.21442,2,0.00000,0.57095,4,0.00000
manual,3,0.99988,0.11798,0.29490,2,0.00000,0.61158,4,0.00000
